cells,steps,density,threads_or_ranks,wall_time
10000000,500,0.30,4,4.633059
15000000,500,0.30,4,7.041144
15000000,500,0.30,4,7.000542
15000000,500,0.30,4,7.331750
15000000,500,0.30,4,7.343393
15000000,500,0.30,4,7.161363
15000000,500,0.30,4,7.699554
15000000,500,0.30,4,7.079636
15000000,500,0.30,4,7.033424
15000000,500,0.30,4,7.063989
15000000,500,0.30,4,8.455534
15000000,500,0.30,4,9.186784
15000000,500,0.30,4,8.024523
15000000,500,0.30,4,7.509480
15000000,500,0.30,4,7.014708
15000000,500,0.30,4,7.035673
15000000,500,0.30,4,7.034081
15000000,500,0.30,4,9.971633
15000000,500,0.30,4,8.198504
15000000,500,0.30,4,7.194815
15000000,500,0.30,4,7.140585
15000000,500,0.30,4,7.095691
15000000,500,0.30,4,7.154337
15000000,500,0.30,4,7.036631
15000000,500,0.30,4,7.004463
15000000,500,0.30,4,6.981557
15000000,500,0.30,4,7.375834
15000000,500,0.30,4,7.585238
15000000,500,0.30,4,7.142044
15000000,500,0.30,4,7.127537
15000000,500,0.30,4,7.165905
15000000,500,0.30,4,7.155405
15000000,500,0.30,4,7.148281
15000000,500,0.30,4,8.043693
15000000,500,0.30,4,7.232357
15000000,500,0.30,4,7.048517
15000000,500,0.30,4,6.992135
15000000,500,0.30,4,6.983435
15000000,500,0.30,4,7.035475
15000000,500,0.30,4,6.999486
15000000,500,0.30,4,6.916887
15000000,500,0.30,4,6.894509
15000000,500,0.30,4,6.862335
15000000,500,0.30,4,7.031055
15000000,500,0.30,4,6.984149
15000000,500,0.30,4,6.982706
15000000,500,0.30,4,6.926911
15000000,500,0.30,4,7.087694
15000000,500,0.30,4,6.986166
15000000,500,0.30,4,7.029621
15000000,500,0.30,4,6.977121
20000000,500,0.30,4,9.373398
20000000,500,0.30,4,9.307678
20000000,500,0.30,4,9.341308
20000000,500,0.30,4,9.262591
20000000,500,0.30,4,9.266912
20000000,500,0.30,4,9.302046
20000000,500,0.30,4,9.400709
20000000,500,0.30,4,9.336784
20000000,500,0.30,4,9.337481
20000000,500,0.30,4,9.316055
20000000,500,0.30,4,9.280344
20000000,500,0.30,4,9.366523
20000000,500,0.30,4,9.224091
20000000,500,0.30,4,9.305073
20000000,500,0.30,4,9.221251
20000000,500,0.30,4,9.203992
20000000,500,0.30,4,9.150635
20000000,500,0.30,4,9.258145
20000000,500,0.30,4,9.292750
20000000,500,0.30,4,9.271198
20000000,500,0.30,4,9.290319
20000000,500,0.30,4,9.330270
20000000,500,0.30,4,9.371359
20000000,500,0.30,4,9.321446
20000000,500,0.30,4,9.218773
20000000,500,0.30,4,9.291016
20000000,500,0.30,4,9.310130
20000000,500,0.30,4,9.192813
20000000,500,0.30,4,9.391745
20000000,500,0.30,4,9.327986
20000000,500,0.30,4,9.321371
20000000,500,0.30,4,9.287537
20000000,500,0.30,4,9.215622
20000000,500,0.30,4,9.400024
20000000,500,0.30,4,9.139971
20000000,500,0.30,4,9.187896
20000000,500,0.30,4,9.252858
20000000,500,0.30,4,9.169813
20000000,500,0.30,4,9.233200
20000000,500,0.30,4,9.240874
20000000,500,0.30,4,9.271501
20000000,500,0.30,4,9.183070
20000000,500,0.30,4,9.282756
20000000,500,0.30,4,9.181224
20000000,500,0.30,4,9.287170
20000000,500,0.30,4,9.191797
20000000,500,0.30,4,9.215355
20000000,500,0.30,4,9.152737
20000000,500,0.30,4,9.210067
20000000,500,0.30,4,9.227368
10000000,500,0.30,4,4.658607
10000000,500,0.30,4,4.622116
10000000,500,0.30,4,4.611001
10000000,500,0.30,4,4.636822
10000000,500,0.30,4,4.567149
10000000,500,0.30,4,4.598840
10000000,500,0.30,4,4.617644
10000000,500,0.30,4,4.596984
10000000,500,0.30,4,4.607620
10000000,500,0.30,4,4.607076
5000000,1000,0.30,4,5.121234
5000000,1000,0.30,4,4.901077
5000000,1000,0.30,4,4.089370
5000000,1000,0.30,4,4.207441
5000000,1000,0.30,4,4.193269
5000000,1000,0.30,4,4.203019
5000000,1000,0.30,4,5.845031
5000000,1000,0.30,4,4.365911
5000000,1000,0.30,4,6.033068
5000000,1000,0.30,4,4.572287
